Placement,Name,Score,Time
746,Lord J Rax,4376785,34:15.8
747,borat_90,4380840,42:07.5
748,Lincapple,4383940,26:03.6
749,w4th,4384705,39:19.8
750,Player6317989,4387390,24:32.5
751,Starchlord6T,4387785,27:57.1
752,JCProgrammer,4391850,26:20.9
753,bokishaaa,4394407,25:07
754,didiroxmygames,4396410,26:35
755,Nathan1754,4397860,23:02
756,TEMMI3,4398425,29:16
757,goodone2008,4398636,40:58.5
758,MasterZX203,4400305,18:19.2
759,MoonMan,4405825,15:49.8
760,Random guy,4406215,23:33.2
761,vituongpl,4406655,25:59.2
762,ASNM37,4410880,40:50.9
763,C_wizzy95,4413080,43:01.6
764,Player,4415530,34:11.2
765,Fischinator,4418525,26:12.2
766,Scott Michaelis,4423810,41:35.7
767,ZETA,4429195,25:50.5
768,Boom,4432705,40:37.8
769,Scooby Dan,4440115,26:19.1
770,Felipe,4441105,24:40.7
771,Abra,4441475,31:22.9
772,mdsllink,4446745,22:40.1
773,FreakofN,4446800,41:41.8
774,Herman,4449715,22:42.5
