Placement,Name,Score
649,Tong,477665,42:06.4
650,MonkeyNovice47,478030,33:32.9
651,ZimmyZenny,478865,43:03.1
652,Tony,479310,26:12.6
653,Player,479380,31:56.4
654,Player,479490,33:30.5
655,wuliaodayouxi,479545,31:45.1
656,DC DEMOZ,479970,42:17.2
657,NobleSquire1679,480550,32:56.1
658,Ricardo,480605,38:37.9
659,Kristin,480775,42:45
660,Happy,480945,34:58.8
661,Alon22,480950,36:25.4
662,1317729213,481655,34:44.6
663,JakobBi,481800,40:04.7
664,Areyoumonkey,482165,29:27.5
665,krizcillz,482260,40:43.2
666,xxhh233_,482535,29:02.6
667,shuxinbi,483090,30:53.8
668,sheep,483090,33:15
669,Player7446606,483600,31:29.8
670,Matt_B_1977,483750,32:03.1
671,KiwiMaster7226,483970,28:41.8
672,2078273072,485155,29:59
673,EECKLLP,485190,33:16.5
674,ForeverLove,485325,34:34.2
675,Delta_Phoenix,485500,38:21.8
676,PowerDoom,486090,27:34.1
677,wys030416,486560,34:11.1
678,Hell_Spawn,487160,23:12.5
679,Erhe,487165,29:01.5
680,- Apprentice -,487275,28:17.1
681,kk,487440,36:54.8
682,Lilucida,488140,35:15.6
683,JKLBJv100,488215,36:58.8
684,flyingblade,488420,38:58.5
685,Player,488695,39:17
686,Stinkyboi,489140,41:55.6
687,AAA8859,489370,41:38
688,Lamp bulb,490000,36:00.4
689,kywen,491065,40:05.2
690,Yadocat,491685,45:32.4
691,wn123wn,491885,34:27.2
692,Player2537309,491890,36:43.7
693,41470131,491920,35:25.8
694,Hand Charge Ki,492080,31:56.8
695,jinx13,492245,41:41.6
696,CappuChino,492900,28:49.3
697,buka,493015,35:51.5
698,Mr8k,493525,33:38.3
699,......,493830,43:58
700,Bjay23,494030,26:35.3
701,Kirion,494420,28:27.5
702,GertNerd,494715,33:31
703,bgalvey,495085,38:09.3
704,Player3163800,495145,47:08.2
705,Jrod,495300,36:28.4
706,aa b1,496490,39:36.9
707,kdogg8173,496535,38:21.4
708,Captain-Gunfire,497305,36:46.5
709,Astera_TJ,497360,38:10.8
710,Pat,497545,37:38.8
711,TTsWars.URL,498275,33:25.8
712,hellothere225,498480,27:40.2
713,KingThunder14,498765,43:11.6
714,fuubar,499200,29:16.4
715,Soepkippie,499205,35:24.3
716,Maggmare,499530,40:16.1
717,Arthur,499555,34:47.2
718,Hectorino,499670,25:22.8
719,moses9911,500100,46:32.5
720,JeremyGC,500575,43:17.6
721,NR,500840,26:41.4
722,Unelevate,500910,12:30
723,Stench,500975,35:28.2
724,FromTheAsh,501665,41:37
725,BreadyTorus,502060,24:08.2
726,ZZZZZZOVOZZ,502215,43:00.8
727,PowerDino1110,502415,65:57.2
728,Tting,502490,30:41.5
729,PanMat122,503170,38:34.3
730,Player,504415,39:39.5
731,Player,504525,41:03.4
732,Player,504710,38:31.4
733,Tata,504930,36:06.1
734,orange sode,505095,30:41.3
735,Twayne1Original,505725,34:40
736,Pilo Plo,506275,55:02.1
737,Victor Calleja,506360,34:06.9
738,BM14,506710,32:30
739,Polaris,508025,25:15.2
740,Calin,508210,36:29.3
741,AdroitPioneer61,508440,28:15.2
742,Brucemen,508710,37:08.3
743,Korpisoturi FI,509115,37:26.6
744,ActualAnt,509175,27:02.4
745,fluoxetine,509215,48:45.9
746,llwraw,509395,47:25.4
747,frank_dadou,509885,37:16.6
748,Scylaceus,510080,29:38.3
749,Bra-silien,510775,36:08.4
750,Cameronsmoothie,511010,38:22.2
751,lpsz,511125,30:13.2
752,Wily Bit,511560,36:42.5
753,Sparky,511640,48:24.4
754,Player,512035,33:21.3
755,txcrn,512500,23:21.6
756,circle stats,512995,43:18.7
757,Khaled,513550,29:37.4
758,Jus_Aim_Bot,513715,30:47.2
759,Zaphenzo,514055,30:32.5
760,NorikPetro,514475,41:46.8
761,Hartmut,514720,33:30
762,Mast,515660,47:45
763,Genio250,516125,42:37.4
764,Jaws8,516345,50:07.7
765,only wizard,518170,36:45.8
766,Ueberking Nico,518280,34:47.8
767,zhaoeither,518925,38:19.4
768,Jacob Knopf,519235,35:42.2
769,Nekohachi,519805,34:25.9
770,Player,520175,34:30.8
771,Phyzzicist,520655,37:54.9
772,MikeJOOOOONES,520930,45:51
773,Gildalf,521770,51:35
774,PlasmaHD,522035,42:16.1
775,Lithusei,522055,35:18.2
776,Kylo.,522065,38:03.3
