Placement,Name,Score
784,ObeseTofu,17:19.134
785,Calplus YT,17:19.4
786,adrisaurus,17:19.716
787,Multi,17:19.833
788,Revii,17:19.917
789,TeeKay,17:20.317
790,Mangotic,17:20.35
791,Player990647,17:20.9
792,Omeger7,17:20.917
793,Theo,17:21.034
794,Blizzy,17:21.417
795,TheDoctor,17:21.483
796,M,17:21.883
797,Kyu,17:22.066
798,SmokeySpace,17:22.683
799,ISAB,17:22.783
800,SuperElite5734,17:22.833
801,mathcraver,17:22.916
802,LJBOSS,17:23.167
803,G3neral51,17:23.366
804,ALEX,17:23.383
805,Styck,17:23.467
806,GJP,17:23.867
807,sammytelephone,17:23.983
808,Lucas Sanders,17:24.033
809,Jamal B,17:24.217
810,X Im Legend,17:24.534
811,Jelly,17:24.55
812,egggod,17:24.85
813,James,17:25.283
814,Zethzz,17:25.333
815,Guigui,17:25.65
816,VioletHero3412,17:25.7
817,ImAmyReal,17:25.717
818,Fwodo,17:26.016
819,jakub.pom11,17:26.133
820,ZzGeForcezZ,17:26.266
821,EggoWaffles72,17:26.284
822,AHSU06,17:26.534
823,HqrryP0tt3r,17:26.6
824,PopAce3445,17:27.25
825,PonyNinja,17:27.35
826,Player,17:27.85
827,Wholemeal,17:27.967
828,munkiboyzz,17:28.316
829,OMEGA IP MAN,17:28.5
830,Bread_Overlord,17:28.6
831,Vxyl,17:29.05
832,Aarondaking2007,17:29.333
833,Samtomine,17:29.383
834,Hoys,17:29.467
835,Nitro,17:29.533
836,Lol u a noob,17:29.933
837,IbonMan,17:30.2
838,MrCircle,17:30.233
839,ArdynKnt,17:30.383
840,Mamaie69,17:30.65
841,Boss Shifu,17:30.867
842,VssBandit,17:31.483
843,tony,17:32.317
844,Misfitz,17:32.65
845,officer_Bend0x,17:33.1
846,Slipper,17:33.45
847,yapzhongqing,17:33.617
848,SuangFT,17:34.1
849,Player7628802,17:34.283
850,Henwi,17:34.283
851,Otis480,17:34.35
852,El rey,17:34.567
853,ZMIENIU,17:34.733
854,Daniel2298026,17:34.817
855,Watus,17:34.85
856,FalsePumpkin,17:35.166
857,Hero,17:35.617
858,jelly,17:36.3
859,I_suck,17:37.667
860,Kairos,17:38.634
861,Nightfighter,17:39.55
862,Siageflare18,17:39.633
863,Heartless,17:39.783
864,Bobby,17:39.95
865,Chrome Hearts,17:39.983
866,Soaen,17:40.3
867,wane,17:40.8
868,rdg666,17:40.85
869,Iceboy10,17:41.267
870,Player1559174,17:41.316
871,Moin.Meister,17:41.333
872,Jonas,17:41.8
873,Vnillagamer,17:41.85
874,finny22,17:42.25
