Placement,Name,Score
839,Mitchbemon,16:33.084
840,asteroidaxis20,16:33.417
841,HeroicTiger651,16:33.45
842,SkyFly,16:33.633
843,Tech-X,16:33.667
844,Buja X,16:33.75
845,Lukka_gs,16:33.784
846,Player,16:34.65
847,Masus,16:34.816
848,Playdot1985,16:34.884
849,Nexu,16:35.017
850,Lillizzie,16:35.417
851,Headcrack,16:35.484
852,Jotinha,16:35.75
853,smiley_,16:35.934
854,Gabix,16:36
855,YodaJay,16:36.334
856,Pillow Dream,16:36.6
857,PEPINO,16:37.1
858,Silent00chan,16:37.183
859,BluePhoenix,16:37.333
860,Yeetus,16:37.683
861,MooNchaK,16:37.85
862,The Cerg3,16:38.017
863,Curie,16:38.1
864,Xlipe007,16:38.25
865,MafiaReborn,16:38.35
866,DFlash,16:38.5
867,AmberLeader4305,16:38.533
868,Shadow,16:38.667
869,cheezycord,16:38.716
870,Dueytwo,16:38.9
871,NinjaMaster168,16:39.283
872,your mum,16:39.45
873,Fu-Chih,16:39.567
874,Tfujstary69,16:39.667
875,Rip.indra.br,16:39.733
876,Ansisg,16:39.883
877,Nescauu,16:40.216
878,Seip,16:40.333
879,Deine mum,16:40.5
880,Flu 6,16:40.833
881,PleaseHelp,16:41.034
882,Bobby,16:41.1
883,vivalay,16:41.45
884,Slix-_-x,16:41.75
885,Dudandrez,16:42.216
886,MC,16:42.384
887,Deez Nuts,16:42.65
888,Asakryt,16:42.75
889,mateo46,16:42.966
890,Lucifirst00,16:43.233
891,ZMIENIU,16:43.3
892,Voidkaiser,16:43.316
893,Holography,16:43.766
894,Player,16:43.766
895,bernhard,16:43.783
896,Isaiah,16:43.816
897,Jiri Beurskens,16:43.95
898,damien,16:44.034
899,Furlas,16:44.5
900,Rybot5000,16:44.733
901,KarmaKill23,16:45.2
902,OneDigitIQ,16:45.217
903,That guy,16:45.233
904,Bryan,16:45.284
905,F-22A Raptor,16:45.384
906,DUSTiN_Y,16:45.467
907,Misiek802,16:45.683
908,ThirdPlayer,16:45.683
909,mhemadisbackA,16:45.95
910,PeachPanda4391,16:46
911,Dorp,16:46.216
912,Pepito,16:46.5
913,JPittman,16:46.533
914,Player,16:46.533
915,Lokura,16:46.584
916,REBE,16:46.65
917,Rik,16:46.667
918,e girl,16:47.067
919,GreenZito,16:47.217
920,Akiseh,16:47.484
921,kikis362,16:47.717
922,jpgamegek,16:47.717
923,cursedhunter,16:47.8
924,chillus,16:47.916
925,Nedhogg,16:47.967
926,TheRacistRacer,16:48.1
927,skb,16:48.634
928,Carina,16:48.683
929,MamaWin,16:49.217
930,Player,16:49.333
931,Teqlagreen,16:49.516
932,wolf12,16:49.566
933,Love2Spl00ge,16:49.567
934,Shaded,16:49.75
935,Aconis,16:50.1
936,Kingustus,16:50.816
937,snoow.exe,16:50.917
938,SoNeCa(V23),16:51.033
939,Shute Mih,16:51.1
940,RaisinMajere,16:51.184
941,Bruhguetto,16:51.35
942,Kival Evan,16:51.717
943,Vergil,16:51.75
944,Uilo12,16:52.2
945,Manander0202,16:52.367
946,Killr,16:52.55
947,IEATCAT,16:52.6
948,Ferocious,16:52.667
949,PYTHON_ylbl_,16:53.634
950,THE_MOOG,16:53.917
951,Player6705497,16:53.966
952,Jomo OG,16:54.483
953,Ryu,16:54.75
954,Techno_Logical,16:54.85
955,BananaLegend179,16:55.033
956,AsianAndrew,16:55.366
957,BakerBlockster,16:55.383
958,BLACK EDGE,16:55.434
959,Rullen,16:55.966
960,UmutK,16:56
961,slimjimf,16:56.217
962,StranaScimmia,16:56.284
963,Kieran,16:56.3
964,Jubjublub,16:56.366
965,Poopgamer_747,16:56.816
966,william,16:56.95
967,EliteMaster283,16:57.1
968,BarQes_,16:57.15
969,w1lliam528,16:57.25
970,Grzzzz,16:57.4
971,Azure Dusk,16:57.667
972,Good Boy Silen,16:57.934
973,SAM333,16:57.967
974,cilynnd,16:58.333
975,Fungus,16:58.567
976,J1mB091,16:58.784
